logo_id,logo_name,real_filename,file_type,transparent,has_slogan,asset_category,platform_system_app,date_saved,storage_location,folder_path,notes
001,Marel Full Logo,Marel-logo.png,PNG,No,No,Brand / Platform,Marel Platform,2026-03-27,Google Drive,My Drive (root),Shared file
002,Marel Logo Transparent,Marel-logo-TRANS.png,PNG,Yes,No,Brand / Platform,Marel Platform,2026-03-27,Google Drive,My Drive (root),Shared transparent version
003,MAJD Full Logo,majd full logo.png,PNG,No,No,Brand / Platform,MAJD AI,2025-06-17,Google Drive,logos/,Primary MAJD wordmark
004,Aktrayel Logo,Aktrayel-logo.png,PNG,No,No,Brand / Engine,Aktrayel Engine,2026-02-12,Google Drive,logos/,Shared; also in Baranurion folder
005,MADA Logo (logos folder),mada_logo.png,PNG,No,No,Brand / System,MADAA System,2026-02-23,Google Drive,logos/,Shared file
006,Zurd Logo v01,zurd-logo-v01.png,PNG,No,No,Brand / App,Zurd App,2026-02-23,Google Drive,logos/,Shared file
007,Acuterium Technologies Logo,Acuterium Technologies_logo.png,PNG,No,No,Corporate,Acuterium Technologies,2025-11-03,Google Drive,logos/,Primary corporate logo
008,Zurd Logo v02,zurd-logo-v02.png,PNG,No,No,Brand / App,Zurd App,2026-02-23,Google Drive,logos/,Shared file v2
009,Ruzn Logo (logos),ruzn-logo.png,PNG,No,No,Brand / Protocol,Ruzn-Supreme Protocol,2026-01-09,Google Drive,logos/,Shared file
010,MADA Logo (MADAA System folder),mada_logo.png,PNG,No,No,Brand / System,MADAA System,2025-10-13,Google Drive,MADAA — System/,Dedicated system folder copy
011,Baranurion Logo Transparent,Baranurion-logo-trans.png,PNG,Yes,No,Brand / Layer,Baranurion Layer,2026-03-10,Google Drive,Baranurion/,Transparent version
012,MAJD Full Logo Transparent,majd full logo_Transparent.png,PNG,Yes,No,Brand / Platform,MAJD AI,2025-06-17,Google Drive,logos/,Transparent version of MAJD wordmark
013,Aktrayel Logo (Baranurion),Aktrayel-logo.png,PNG,No,No,Brand / Engine,Aktrayel Engine,2026-02-12,Google Drive,Baranurion/,Duplicate in Baranurion folder
014,Erebus-ASI Signature Logo and Tagline,Erebus-ASI Signature Logo and Tagline.png,PNG,No,Yes,Brand / Engine,Erebus-CSE / ASI Engine,2025-06-17,Google Drive,logos/,Includes tagline / slogan
015,PSI-DOMINION Logo,PSI-DOMINION_Logo.png,PNG,No,No,Brand / Protocol,PSI-DOMINION Protocol,2025-10-19,Google Drive,logos/,Shared file
